Membership ID,Member ID,Membership Type,Start Date,End Date,Payment Status
1,1,Quarterly,2024-03-27,2024-06-25,Paid
2,2,Annual,2024-11-23,2025-11-23,Paid
3,3,Annual,2024-07-11,2025-07-11,Pending
4,4,Premium,2024-04-06,2025-04-06,Paid
5,5,Monthly,2024-04-22,2024-07-21,Paid
6,6,Quarterly,2024-12-23,2025-12-23,Overdue
7,7,Annual,2024-04-28,2024-07-27,Overdue
8,8,Premium,2024-07-28,2024-10-26,Overdue
9,9,Monthly,2024-12-28,2025-01-27,Paid
10,10,Monthly,2024-07-21,2024-08-20,Pending
11,11,Quarterly,2024-11-24,2025-11-24,Paid
12,12,Annual,2024-05-19,2024-06-18,Paid
13,13,Premium,2024-03-15,2024-04-14,Paid
14,14,Annual,2024-06-06,2024-09-04,Pending
15,15,Annual,2024-06-27,2024-07-27,Paid
16,16,Premium,2024-05-18,2024-06-17,Pending
17,17,Annual,2024-06-24,2024-09-22,Pending
18,18,Quarterly,2024-07-28,2025-07-28,Pending
19,19,Annual,2024-05-23,2024-08-21,Paid
20,20,Annual,2024-09-19,2024-12-18,Paid
21,21,Annual,2024-11-01,2024-12-01,Paid
22,22,Annual,2024-09-13,2024-10-13,Paid
23,23,Annual,2024-06-26,2025-06-26,Pending
24,24,Monthly,2024-10-18,2024-11-17,Pending
25,25,Quarterly,2024-08-25,2024-09-24,Pending
26,26,Quarterly,2024-11-13,2025-11-13,Pending
27,27,Premium,2024-07-16,2024-10-14,Overdue
28,28,Monthly,2024-09-11,2025-09-11,Paid
29,29,Monthly,2024-10-09,2024-11-08,Pending
30,30,Monthly,2024-11-22,2024-12-22,Pending
31,31,Monthly,2024-12-25,2025-01-24,Paid
32,32,Monthly,2024-04-22,2024-07-21,Paid
33,33,Annual,2024-11-28,2025-11-28,Overdue
34,34,Quarterly,2024-08-21,2024-11-19,Pending
35,35,Quarterly,2024-05-12,2024-08-10,Paid
36,36,Quarterly,2024-05-17,2025-05-17,Paid
37,37,Quarterly,2024-04-23,2024-07-22,Paid
38,38,Monthly,2024-09-04,2024-12-03,Pending
39,39,Monthly,2024-09-26,2024-12-25,Pending
40,40,Annual,2024-08-28,2024-11-26,Paid
41,41,Annual,2024-04-08,2025-04-08,Pending
42,42,Premium,2024-04-17,2024-07-16,Pending
43,43,Premium,2024-05-21,2024-06-20,Pending
44,44,Quarterly,2024-02-14,2024-03-15,Pending
45,45,Annual,2024-06-05,2024-07-05,Paid
46,46,Premium,2024-06-15,2024-09-13,Paid
47,47,Monthly,2024-06-25,2025-06-25,Paid
48,48,Premium,2024-12-20,2025-03-20,Pending
49,49,Monthly,2024-11-10,2024-12-10,Overdue
50,50,Quarterly,2024-09-10,2024-12-09,Paid
51,51,Monthly,2024-01-03,2024-04-02,Paid
52,52,Monthly,2024-02-24,2024-03-25,Paid
